CAT	EXAMPLEID
ITR	ru0100099
ITR	ru0100100
ITR	ru0100101
ITR	ru0100102
ITR	ru0100103
ITR	ru0100104
ITR	ru0100105
ITR	ru0100106
ITR	ru0100107
ITR	ru0100108
ITR	ru0100109
ITR	ru0100110
ITR	ru0100111
ITR	ru0100112
ITR	ru0100113
ITR	ru0100114
ITR	ru0100115
ITR	ru0100116
IPER	ru0100117
IPER	ru0100118
IPER	ru0100119
IPER	ru0100120
IPER	ru0100121
IPER	ru0100122
IPER	ru0100123
IPER	ru0100124
IPER	ru0100125
RESULT	ru0100126
POSS	ru0100127
POSS	ru0100128
EVID	ru0100129
SA-OPT	ru0100129
EVID	ru0100130
EVID	ru0100131
EVID	ru0100132
EVID	ru0100133
EVID	ru0100134
EVID	ru0100135
EVID	ru0100136
EVID	ru0100137
EVID	ru0100138
EVID	ru0100139
EVID	ru0100140
EVID	ru0100141
EVID	ru0100142
EVID	ru0100143
EVID	ru0100144
EVID	ru0100145
EVID	ru0100146
EVID	ru0100147
EVID	ru0100148
EVID	ru0100149
EVID	ru0100150
EVID	ru0100151
EVID	ru0100152
EVID	ru0100153
ITER	ru0100154
ITER	ru0100155
ITER	ru0100156
ITER	ru0100157
EPIST	ru0100158
DISP	ru0100159
EPIST	ru0100160
EPIST	ru0100161
CIRC	ru0100162
EPIST	ru0100162
EPIST	ru0100163
EPIST	ru0100164
EPIST	ru0100165
EPIST	ru0100166
CIRC	ru0100167
EPIST	ru0100167
DISP	ru0100168
EPIST	ru0100169
DISP	ru0100170
CIRC	ru0100170
EPIST	ru0100171
EPIST	ru0100172
EPIST	ru0100173
ITER	ru0100173
DOM-ANIM	ru0100174
DOM-ANIM	ru0100175
DOM-ANIM	ru0100176
DOM-ANIM	ru0100177
DOM-ANIM	ru0100178
DOM-ANIM	ru0100179
DOM-ANIM	ru0100180
DOM-ANIM	ru0100181
DOM-ANIM	ru0100182
MFOC	ru0100183
MFOC	ru0100184
MFOC	ru0100185
MFOC	ru0100186
MFOC	ru0100187
MFOC	ru0100188
MFOC	ru0100189
MFOC	ru0100190
MFOC	ru0100191
MFOC	ru0100192
MTOP	ru0100193
MTOP	ru0100194
MTOP	ru0100195
ECH	ru0100196
ECH	ru0100197
NSPEC	ru0100198
APPROX	ru0100199
EXIST	ru0100200
RESULT	ru0100201
RESULT	ru0100202
RESULT	ru0100203
NOMPRED	ru0100204
NOMPRED	ru0100205
PCOORD	ru0100206
PCOORD	ru0100207
PCOORD	ru0100208
RC	ru0100209
SPEC	ru0100210
IDEFIN	ru0100210
SPEC	ru0100211
IDEFIN	ru0100211
SPEC	ru0100212
IDEFIN	ru0100212
NSPEC	ru0100213
IDEFIN	ru0100213
EPIST	ru0100214
IDEFIN	ru0100214
EPIST	ru0100215
IDEFIN	ru0100215
EPIST	ru0100216
IDEFIN	ru0100216
EPIST	ru0100217
IDEFIN	ru0100217
EPIST	ru0100218
IDEFIN	ru0100218
DOM	ru0100219
DOM	ru0100220
DOM	ru0100221
DOM	ru0100222
DOM	ru0100223
DOM	ru0100224
DOM	ru0100225
DOM	ru0100226
RC	ru0100226
DOM	ru0100227
DOM	ru0100228
REFL	ru0100229
RC	ru0100230
EXIST	ru0100230
